Form ID	Editor ID	Type	Response Text
0059b7ea	DRadioG_JulieScene01	normal	Hey friends, Julie here. I-I wanted to take a second to talk about something important to me: this radio station.
0059b7ef	DRadioG_JulieScene02	normal	I try not to talk about myself too much, but maybe you've heard me mention it before: I'm only 23, but I've had more than my share of bad times.
0059b7e8	DRadioG_JulieScene03	normal	I-I don't say that to get you to feel sorry for me. I know that so many of you out there have had difficult lives too. Some far, far harder than mine.
0059b7ee	DRadioG_JulieScene04	normal	I say it because I want you to know I can relate. I know what it's like to lose family and friends. To struggle.
0059b7e7	DRadioG_JulieScene05	normal	But there's one thing that always kept me going, always meant something to me. It's this place. This radio station. This music.
0059b7ed	DRadioG_JulieScene06	normal	These songs playing out across the world for everyone to hear...they mean so much to me.
0059b7e6	DRadioG_JulieScene07	normal	They remind me of good times, of people I care about. Things that really matter. They offer...hope. I know it's cheesy, but hey it's true!
0059b7ec	DRadioG_JulieScene08	normal	When I heard that people were coming back to Appalachia, I knew I had to make the trip. To find this radio station and make sure it stays running.
0059b7e5	DRadioG_JulieScene09	normal	I'm not gonna act like it's mine, like, I own it or anything. I've fixed some times up, sure, but I didn't build Appalachia Radio. It doesn't belong to me.
0059b7eb	DRadioG_JulieScene10	normal	But I want to make sure it stays on the air because...maybe it can give someone else hope. Maybe...Maybe that someone is you.
0059b7f0	DRadioG_JulieScene11	normal	So, I hope you hear this music, and it makes you smile, or makes you think of someone you care about. That's what it's here for. That's what I'm here for.
0059b7e9	DRadioG_JulieScene12	normal	...I guess I should probably get back to actually playing all that music I keep talking about, huh? Ha ha.
0059bf51	RadioG_AppalachiaRadioID01	normal	You're listening to Appalachia Radio, an enduring source of happiness in a sometimes unbelievable world.
0059bf52	RadioG_AppalachiaRadioID02	normal	One of the few things left in this world that hasn't been pulled apart for loose screws and circuit boards, this is Appalachia Radio!
0059bf53	RadioG_AppalachiaRadioID03	normal	Held together by duct tape, willpower, and a near-crippling fear of silence, this is Appalachia Radio.
0059bf54	RadioG_AppalachiaRadioID04	outro	From Clarksburg to Welch, from Flatwoods to Watoga, and everywhere in between, you're listening to Appalachia Radio!
0059bf55_1	RadioG_AppalachiaRadioID05	normal	Here at Appalachia Radio, I've recently gotten my hands on a Collectron. He is absolutely adorable, but has zero respect for personal boundaries.
0059bf55_2	RadioG_AppalachiaRadioID06	normal	[robot voice] Can I interest you in a block of concrete?
0059bf55_3	RadioG_AppalachiaRadioID07	normal	Oh my gosh, get OUT of here you big goofball!
0059bf56	RadioG_AppalachiaRadioID08	normal	You're listening to Appalachia Radio: It's like a Super Stimpak... for the soul. Hmm. That sounded better in my head.
0059b454	RadioG_AndrewsSisters_StraightenUpAndFlyRight	normal	The Andrews Sisters here have a great message for us all. Maybe some more'n others, if we're bein' honest... Lookin' at you, Crater!
0059b479	RadioG_AndrewsSisters_StraightenUpAndFlyRight	normal	Alright, can you imagine, three sisters all able to get along well enough to sing together? I wouldn't make it through a single song with my brother. No way! [laughs]
0059c7e6	RadioG_AndrewsSisters_StraightenUpAndFlyRight	intro	"And now, here are the very prolific Andrews Sisters with ""Straighten Up and Fly Right."""
0059c7ef	RadioG_AndrewsSisters_StraightenUpAndFlyRight	normal	I feel like we're missing some pretty crucial information in that story. Why on earth would the monkey agree to that ride in the first place? That's what I want to know!
0059b46d	RadioG_BeachBoys_WouldntItBeNice	normal	As soon as I hear that harp playing, I get all excited, because I know what I'm in for. It's really just kind of a perfect song, isn't it?
0059b4b6	RadioG_BeachBoys_WouldntItBeNice	intro	Next we've got Wouldn't It Be Nice... now isn't that a phrase we all say in our heads about a dozen times a day?
0059c7e5	RadioG_BeachBoys_WouldntItBeNice	normal	"Break out your surfboards because here come the Beach Boys with ""Wouldn't It Be Nice""."
0059b464	RadioG_BenSelvin_HappyDaysAreHereAgain	outro	"That was ""Happy Days Are Here Again"", which... well, hey. You're alive, ain'tcha? Pretty decent reason to be happy."
0059b4a6	RadioG_BenSelvin_HappyDaysAreHereAgain	intro	Here's one that might cheer you up on a rad-stormy day. Or serve as an excellent background for watching someone fall down repeatedly.
0059c7f4}	RadioG_BenSelvin_HappyDaysAreHereAgain	normal	In my humble opinion, if you're in the right frame of mind then they're all happy days.
0059b45a	RadioG_BillieHoliday_CrazyHeCallsMe	intro	Oh, now this next song is one of my favorites. Just a sweet reminder that there are things out there that are worth livin' for.
0059b484	RadioG_BillieHoliday_CrazyHeCallsMe	normal	Doesn't Billie Holiday just have the most beautiful voice? Every time I've heard that song, since I was a little girl, just been carried away by it.
0059c7ee	RadioG_BillieHoliday_CrazyHeCallsMe	intro	"Coming up next is ""Crazy He Calls Me"". If you ask me, the only thing crazy about Billie Holiday is how amazing her voice is!"
0059c7f3	RadioG_BillieHoliday_CrazyHeCallsMe	outro	Take a page from Billie Holiday, and believe you can do the impossible. It can make all the difference.
0059b46c	RadioG_BingCrosbyAndrewsSisters_DontFenceMeIn	normal	Well Mr. Bing Crosby, you would have loved Appalachia. More wide open land than you can shake a...mildly irradiated stick at.
0059b4b5	RadioG_BingCrosbyAndrewsSisters_DontFenceMeIn	intro	"Well this one pretty much sums it up for me. Here's Bing Crosby backed up by the Andrews Sisters with ""Don't Fence Me In""."
0059c7e7	RadioG_BingCrosbyAndrewsSisters_DontFenceMeIn	normal	"This next one goes out to all you Dwellers looking for the perfect, and I mean perfect, spot for your camp. It's Bing Crosby, singing ""Don't Fence Me In""."
0059b463	RadioG_BingCrosbyAndrewsSisters_PistolPackinMama	normal	Remember, ladies: just 'cause Bing Crosby tells you to put down the gun, doesn't mean you have to!
0059b4a5	RadioG_BingCrosbyAndrewsSisters_PistolPackinMama	intro	There's been a few times in my life I needed to pick up a gun, and every single one of 'em, this next song went through my head.
0059c7e9	RadioG_BingCrosbyAndrewsSisters_PistolPackinMama	normal	"The Andrews Sisters and Bing Crosby are back again! This time with ""Pistol Packin' Mama""."
0059c7f7	RadioG_BingCrosbyAndrewsSisters_PistolPackinMama	normal	These days, you're likely to run across a Pistol, Combat Shotgun, Super Sledge, Gauss Rifle, Gatling Gun Packin' Mama. You can never be too prepared!
0059b45e	RadioG_BlindWillieJohnson_NobodysFaultButMine	normal	Mr. Johnson lays it out pretty clear doesn't he? Regardless of circumstances, the choices we make are what really matter.
