Editor ID	Form ID	Response Text
DRadioG_JulieScene01	0059B7EA	Hey friends, Julie here. I-I wanted to take a second to talk about something important to me: this radio station.
DRadioG_JulieScene02	0059B7EF	I try not to talk about myself too much, but maybe you've heard me mention it before: I'm only 23, but I've had more than my share of bad times.
DRadioG_JulieScene03	0059B7E8	I-I don't say that to get you to feel sorry for me. I know that so many of you out there have had difficult lives too. Some far, far harder than mine.
DRadioG_JulieScene04	0059B7EE	I say it because I want you to know I can relate. I know what it's like to lose family and friends. To struggle.
DRadioG_JulieScene05	0059B7E7	But there's one thing that always kept me going, always meant something to me. It's this place. This radio station. This music.
DRadioG_JulieScene06	0059B7ED	These songs playing out across the world for everyone to hear...they mean so much to me.
DRadioG_JulieScene07	0059B7E6	They remind me of good times, of people I care about. Things that really matter. They offer...hope. I know it's cheesy, but hey it's true!
DRadioG_JulieScene08	0059B7EC	When I heard that people were coming back to Appalachia, I knew I had to make the trip. To find this radio station and make sure it stays running.
DRadioG_JulieScene09	0059B7E5	I'm not gonna act like it's mine, like, I own it or anything. I've fixed some times up, sure, but I didn't build Appalachia Radio. It doesn't belong to me.
DRadioG_JulieScene10	0059B7EB	But I want to make sure it stays on the air because...maybe it can give someone else hope. Maybe...Maybe that someone is you.
DRadioG_JulieScene11	0059B7F0	So, I hope you hear this music, and it makes you smile, or makes you think of someone you care about. That's what it's here for. That's what I'm here for.
DRadioG_JulieScene12	0059B7E9	...I guess I should probably get back to actually playing all that music I keep talking about, huh? Ha ha.
RadioG_AppalachiaRadioID01	0059BF51	You're listening to Appalachia Radio, an enduring source of happiness in a sometimes unbelievable world.
RadioG_AppalachiaRadioID02	0059BF52	One of the few things left in this world that hasn't been pulled apart for loose screws and circuit boards, this is Appalachia Radio!
RadioG_AppalachiaRadioID03	0059BF53	Held together by duct tape, willpower, and a near-crippling fear of silence, this is Appalachia Radio.
RadioG_AppalachiaRadioID04	0059BF54	From Clarksburg to Welch, from Flatwoods to Watoga, and everywhere in between, you're listening to Appalachia Radio!
RadioG_AppalachiaRadioID05	0059BF55_1	Here at Appalachia Radio, I've recently gotten my hands on a Collectron. He is absolutely adorable, but has zero respect for personal boundaries.
RadioG_AppalachiaRadioID06	0059BF55_2	[robot voice] Can I interest you in a block of concrete?
RadioG_AppalachiaRadioID07	0059BF55_3	Oh my gosh, get OUT of here you big goofball!
RadioG_AppalachiaRadioID08	0059BF56	You're listening to Appalachia Radio: It's like a Super Stimpak... for the soul. Hmm. That sounded better in my head.
RadioG_AndrewsSisters_StraightenUpAndFlyRight	0059B454	The Andrews Sisters here have a great message for us all. Maybe some more'n others, if we're bein' honest... Lookin' at you, Crater!
RadioG_AndrewsSisters_StraightenUpAndFlyRight	0059B479	Alright, can you imagine, three sisters all able to get along well enough to sing together? I wouldn't make it through a single song with my brother. No way! [laughs]
RadioG_AndrewsSisters_StraightenUpAndFlyRight	0059C7E6	And now, here are the very prolific Andrews Sisters with "Straighten Up and Fly Right."
RadioG_AndrewsSisters_StraightenUpAndFlyRight	0059C7EF	I feel like we're missing some pretty crucial information in that story. Why on earth would the monkey agree to that ride in the first place? That's what I want to know!
RadioG_BeachBoys_WouldntItBeNice	0059B46D	As soon as I hear that harp playing, I get all excited, because I know what I'm in for. It's really just kind of a perfect song, isn't it?
RadioG_BeachBoys_WouldntItBeNice	0059B4B6	Next we've got Wouldn't It Be Nice... now isn't that a phrase we all say in our heads about a dozen times a day?
RadioG_BeachBoys_WouldntItBeNice	0059C7E5	Break out your surfboards because here come the Beach Boys with "Wouldn't It Be Nice".
RadioG_BenSelvin_HappyDaysAreHereAgain	0059B464	That was "Happy Days Are Here Again", which... well, hey. You're alive, ain'tcha? Pretty decent reason to be happy.
RadioG_BenSelvin_HappyDaysAreHereAgain	0059B4A6	Here's one that might cheer you up on a rad-stormy day. Or serve as an excellent background for watching someone fall down repeatedly.
RadioG_BenSelvin_HappyDaysAreHereAgain	0059c7f4}	In my humble opinion, if you're in the right frame of mind then they're all happy days.
RadioG_BillieHoliday_CrazyHeCallsMe	0059B45A	Oh, now this next song is one of my favorites. Just a sweet reminder that there are things out there that are worth livin' for.
RadioG_BillieHoliday_CrazyHeCallsMe	0059B484	Doesn't Billie Holiday just have the most beautiful voice? Every time I've heard that song, since I was a little girl, just been carried away by it.
RadioG_BillieHoliday_CrazyHeCallsMe	0059C7EE	Coming up next is "Crazy He Calls Me". If you ask me, the only thing crazy about Billie Holiday is how amazing her voice is!
RadioG_BillieHoliday_CrazyHeCallsMe	0059C7F3	Take a page from Billie Holiday, and believe you can do the impossible. It can make all the difference.
RadioG_BingCrosbyAndrewsSisters_DontFenceMeIn	0059B46C	Well Mr. Bing Crosby, you would have loved Appalachia. More wide open land than you can shake a...mildly irradiated stick at.
RadioG_BingCrosbyAndrewsSisters_DontFenceMeIn	0059B4B5	Well this one pretty much sums it up for me. Here's Bing Crosby backed up by the Andrews Sisters with "Don't Fence Me In".
RadioG_BingCrosbyAndrewsSisters_DontFenceMeIn	0059C7E7	This next one goes out to all you Dwellers looking for the perfect, and I mean perfect, spot for your camp. It's Bing Crosby, singing "Don't Fence Me In".
RadioG_BingCrosbyAndrewsSisters_PistolPackinMama	0059B463	Remember, ladies: just 'cause Bing Crosby tells you to put down the gun, doesn't mean you have to!
RadioG_BingCrosbyAndrewsSisters_PistolPackinMama	0059B4A5	There's been a few times in my life I needed to pick up a gun, and every single one of 'em, this next song went through my head.
RadioG_BingCrosbyAndrewsSisters_PistolPackinMama	0059C7E9	The Andrews Sisters and Bing Crosby are back again! This time with "Pistol Packin' Mama".
RadioG_BingCrosbyAndrewsSisters_PistolPackinMama	0059C7F7	These days, you're likely to run across a Pistol, Combat Shotgun, Super Sledge, Gauss Rifle, Gatling Gun Packin' Mama. You can never be too prepared!
RadioG_BlindWillieJohnson_NobodysFaultButMine	0059B45E	Mr. Johnson lays it out pretty clear doesn't he? Regardless of circumstances, the choices we make are what really matter.
RadioG_BlindWillieJohnson_NobodysFaultButMine	0059B49A	Here's the best lesson about personal responsibility set to slide guitar that you'll ever hear. "Nobody's Fault But Mine" by Blind Willie Johnson.
RadioG_BlindWillieJohnson_NobodysFaultButMine	0059C7EC	Next, Blind Willie Johnson struggles with accountability in "Nobody's Fault But Mine".
RadioG_BlindWillieJohnson_NobodysFaultButMine	0059C7F5	I really like this song, but sometimes I'm reminded that this idea goes both ways. You can be presented with the worst of circumstances but still make the right choice. It's up to you!
